Time,Station,Cost,P_consume,E_BESS,C,TotalEnergyConsumed,TotalCarbonUsed,TotalCost
t1          ,s1          ,55875.53,  250.00,  750.00,  100.00
t1          ,s2          ,55875.53,  250.00,  750.00,  100.00
t1          ,s3          ,55875.53,  250.00,  750.00,  100.00
t2          ,s1          ,55875.53,  500.00,    0.00,    0.00
t2          ,s2          ,55875.53,  150.00,    0.00,    0.00
t2          ,s3          ,55875.53,  100.00,    0.00,    0.00
t3          ,s1          ,55875.53,  400.00,    0.00,    0.00
t3          ,s2          ,55875.53,  250.00,    0.00,    0.00
t3          ,s3          ,55875.53,  100.00,    0.00,    0.00
t4          ,s1          ,55875.53,  300.00,    0.00,    0.00
t4          ,s2          ,55875.53,  350.00,    0.00,    0.00
t4          ,s3          ,55875.53,  100.00,    0.00,    0.00
t5          ,s1          ,55875.53,  250.00,    0.00,    0.00
t5          ,s2          ,55875.53,  300.00,    0.00,    0.00
t5          ,s3          ,55875.53,  200.00,    0.00,    0.00
t6          ,s1          ,55875.53,  200.00,    0.00,    0.00
t6          ,s2          ,55875.53,  350.00,    0.00,    0.00
t6          ,s3          ,55875.53,  200.00,    0.00,    0.00
t7          ,s1          ,55875.53,  150.00,    0.00,    0.00
t7          ,s2          ,55875.53,  400.00,    0.00,    0.00
t7          ,s3          ,55875.53,  200.00,    0.00,    0.00
t8          ,s1          ,55875.53,  100.00,    0.00,    0.00
t8          ,s2          ,55875.53,  450.00,    0.00,    0.00
t8          ,s3          ,55875.53,  200.00,    0.00,    0.00
t9          ,s1          ,55875.53,   50.00,    0.00,    0.00
t9          ,s2          ,55875.53,  500.00,    0.00,    0.00
t9          ,s3          ,55875.53,  200.00,    0.00,    0.00
t10         ,s1          ,55875.53,  100.00,    0.00,    0.00
t10         ,s2          ,55875.53,  400.00,    0.00,    0.00
t10         ,s3          ,55875.53,  250.00,    0.00,    0.00
t11         ,s1          ,55875.53,  150.00,    0.00,    0.00
t11         ,s2          ,55875.53,  350.00,    0.00,    0.00
t11         ,s3          ,55875.53,  250.00,    0.00,    0.00
t12         ,s1          ,55875.53,  200.00,    0.00,    0.00
t12         ,s2          ,55875.53,  300.00,    0.00,    0.00
t12         ,s3          ,55875.53,  250.00,    0.00,    0.00
t13         ,s1          ,55875.53,  250.00,    0.00,    0.00
t13         ,s2          ,55875.53,  250.00,    0.00,    0.00
t13         ,s3          ,55875.53,  250.00,    0.00,    0.00
t14         ,s1          ,55875.53,  300.00,    0.00,    0.00
t14         ,s2          ,55875.53,  200.00,    0.00,    0.00
t14         ,s3          ,55875.53,  250.00,    0.00,    0.00
t15         ,s1          ,55875.53,  350.00,    0.00,    0.00
t15         ,s2          ,55875.53,  150.00,    0.00,    0.00
t15         ,s3          ,55875.53,  250.00,    0.00,    0.00
t16         ,s1          ,55875.53,  400.00,    0.00,    0.00
t16         ,s2          ,55875.53,  100.00,    0.00,    0.00
t16         ,s3          ,55875.53,  250.00,    0.00,    0.00
t17         ,s1          ,55875.53,  450.00,    0.00,    0.00
t17         ,s2          ,55875.53,   50.00,    0.00,    0.00
t17         ,s3          ,55875.53,  250.00,    0.00,    0.00
t18         ,s1          ,55875.53,  500.00,    0.00,    0.00
t18         ,s2          ,55875.53,   50.00,    0.00,    0.00
t18         ,s3          ,55875.53,  200.00,    0.00,    0.00
t19         ,s1          ,55875.53,  550.00,    0.00,    0.00
t19         ,s2          ,55875.53,  100.00,    0.00,    0.00
t19         ,s3          ,55875.53,  100.00,    0.00,    0.00
t20         ,s1          ,55875.53,  600.00,    0.00,    0.00
t20         ,s2          ,55875.53,  100.00,    0.00,    0.00
t20         ,s3          ,55875.53,   50.00,    0.00,    0.00
t21         ,s1          ,55875.53,  650.00,    0.00,    0.00
t21         ,s2          ,55875.53,   50.00,    0.00,    0.00
t21         ,s3          ,55875.53,   50.00,    0.00,    0.00
t22         ,s1          ,55875.53,  500.00,    0.00,    0.00
t22         ,s2          ,55875.53,   50.00,    0.00,    0.00
t22         ,s3          ,55875.53,  200.00,    0.00,    0.00
t23         ,s1          ,55875.53,  600.00,    0.00,    0.00
t23         ,s2          ,55875.53,   50.00,    0.00,    0.00
t23         ,s3          ,55875.53,  100.00,    0.00,    0.00
t24         ,s1          ,55875.53,  600.00,    0.00,    0.00
t24         ,s2          ,55875.53,  100.00,    0.00,    0.00
t24         ,s3          ,55875.53,   50.00,    0.00,    0.00
Total,,55875.53,18000.00,,    0.00
